Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
LPA62 - PLUMAS COUNTY	CA3200050	PNF GANSNER BAR CG / WORK CENTER	A	NC	NC	PLUMAS	25	2	CA3200050_001_001	WELL 01	WL	A	RT	07-12-2022	07:50:00	07-19-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-08-2020	11:20:00	02-05-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	4030	RADIUM-228		0.765	PCI/L	Y	0.500000000	1		
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_004_004	WELL 1 - RAW	WL	A	RT	12-26-2019	09:58:00	12-31-2019	1677	BASIC LABORATORY (REDDING)	1055	SULFATE	7.1700000		MG/L	N	0.500000000		500	
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_001_001	WELL 03	WL	A	RT	06-22-2021	10:58:00	06-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2988	1,1,2,2-TETRACHLOROETHANE			UG/L	Y	0.500000000	.5	1	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_007_007	WELL 02 - BELLAMY	WL	A	RT	10-06-2020	09:00:00	10-09-2020	1644	MCCAMPBELL ANALYTICAL, INC.	1039	PERCHLORATE			UG/L	Y	4.000000000	4	6	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_013_013	BOYLE WELL #7	WL	A	RT	11-05-2019	09:06:00	11-07-2019	2718	BASIC LABORATORY, INC (CHICO)	1915	HARDNESS, TOTAL (AS CACO3)	95.0000000		MG/L	N	0.000000000			
LPA62 - PLUMAS COUNTY	CA3200175	LA PORTE PINES COUNTRY CLUB	A	NC	NC	PLUMAS	25	1	CA3200175_006_006	WELL 001	WL	A	RT	11-13-2022	15:00:00	11-18-2022	1233	CLS LABS	1915	HARDNESS, TOTAL (AS CACO3)	47		MG/L	N	1.000000000			SM 2340 B
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_003_003	WILLOW CREEK SPRINGS	SP	A	RT	08-11-2020	09:28:00	09-01-2020	1186	PACE ANALYTICAL SERVICES, LLC DBA BC LAB	2985	1,1,2-TRICHLOROETHANE			UG/L	Y	0.500000000	.5	5	
LPA62 - PLUMAS COUNTY	CA3200101	KEDDIE RESORT	A	NP	SSWS	PLUMAS	22	14	CA3200101_003_003	WELL 01 (INSTALLED 2016)	WL	A	RT	01-28-2019	09:50:00	01-30-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC	5.0000000		UG/L	N	2.000000000	2	10	
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_DST_LCR	LCR Tap Sample	DS	A	RT	09-26-2019	07:45:00	09-30-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50		200.8
