lat,lon,activity,year,status,acres,nepa_project,district,detail
40.2087,-120.6526,Tree Release and Weed,2023,completed,,,,basic
40.219,-120.6585,Tree Release and Weed,2023,completed,,,,basic
40.204,-120.654,Tree Release and Weed,2023,completed,,,,basic
40.2461,-120.7733,Tree Release and Weed,2023,completed,29.3,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2353,-120.6591,Tree Release and Weed,2023,completed,,,,basic
40.162,-120.6672,Tree Release and Weed,2023,completed,,,,basic
40.186,-120.6599,Tree Release and Weed,2023,completed,75.8,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.1982,-120.643,Tree Release and Weed,2023,completed,,,,basic
40.2074,-120.7045,Tree Release and Weed,2023,completed,,,,basic
40.2298,-120.6585,Tree Release and Weed,2023,planned,41.4,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
39.9019,-121.228,Invasives - Pesticide Application,2024,completed,,,,basic
39.9089,-121.3256,Invasives - Pesticide Application,2024,completed,,,,basic
39.8951,-121.2041,Invasives - Pesticide Application,2024,completed,,,,basic
39.8959,-121.2034,Invasives - Pesticide Application,2024,completed,1.0,DEFAULT FOR NOT REQUIRED,02,full
39.8955,-121.2757,Invasives - Pesticide Application,2024,completed,1.3,DEFAULT FOR NOT REQUIRED,02,full
40.011,-121.0614,Right of Way Maintenance,2024,completed,3.8,(PALS)PG&E HERBICIDE VEGETATION MANAGEMENT PROGRAM,02,full
39.9988,-121.0256,Right of Way Maintenance,2024,completed,,,,basic
40.0105,-121.0595,Right of Way Maintenance,2024,completed,4.8,(PALS)PG&E HERBICIDE VEGETATION MANAGEMENT PROGRAM,02,full
40.0017,-121.0361,Right of Way Maintenance,2024,completed,,,,basic
40.0016,-121.0358,Right of Way Maintenance,2024,completed,,,,basic
39.9993,-121.0268,Right of Way Maintenance,2024,completed,,,,basic
40.2359,-120.7819,Tree Release and Weed,2024,completed,102.5,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2362,-120.7911,Tree Release and Weed,2024,completed,12.2,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2461,-120.7733,Tree Release and Weed,2024,completed,,,,basic
40.2255,-120.8219,Tree Release and Weed,2024,completed,,,,basic
40.1742,-120.6796,Tree Release and Weed,2024,completed,,,,basic
40.2036,-120.7113,Tree Release and Weed,2024,completed,,,,basic
40.1915,-120.8225,Tree Release and Weed,2024,completed,,,,basic
40.2292,-120.7819,Tree Release and Weed,2024,completed,,,,basic
40.2074,-120.7045,Tree Release and Weed,2024,completed,,,,basic
40.1986,-120.6422,Tree Release and Weed,2024,planned,86.5,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
39.8948,-121.279,Invasives - Pesticide Application,2025,completed,0.6,DEFAULT FOR NOT REQUIRED,02,full
39.8479,-121.394,Invasives - Pesticide Application,2025,completed,,,,basic
40.0057,-121.2566,Invasives - Pesticide Application,2025,completed,,,,basic
39.8959,-121.2034,Invasives - Pesticide Application,2025,completed,0.4,DEFAULT FOR NOT REQUIRED,02,full
40.1492,-120.7861,Invasives - Pesticide Application,2025,completed,,,,basic
39.8943,-121.3019,Invasives - Pesticide Application,2025,completed,0.6,DEFAULT FOR NOT REQUIRED,02,full
39.8956,-121.3013,Invasives - Pesticide Application,2025,completed,,,,basic
39.9024,-121.2497,Invasives - Pesticide Application,2025,completed,,,,basic
39.9022,-121.2496,Invasives - Pesticide Application,2025,completed,,,,basic
39.8976,-121.2815,Invasives - Pesticide Application,2025,completed,1.8,DEFAULT FOR NOT REQUIRED,02,full
40.0492,-121.2103,Invasives - Pesticide Application,2025,completed,2.0,DEFAULT FOR NOT REQUIRED,02,full
39.9367,-121.3206,Invasives - Pesticide Application,2025,completed,,,,basic
40.0716,-121.1676,Invasives - Pesticide Application,2025,completed,1.5,DEFAULT FOR NOT REQUIRED,02,full
39.8934,-121.3006,Invasives - Pesticide Application,2025,completed,,,,basic
39.9758,-120.8644,Invasives - Pesticide Application,2025,completed,6.0,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
39.9797,-120.9933,Right of Way Maintenance,2025,completed,4.9,(PALS)PG&E HERBICIDE VEGETATION MANAGEMENT PROGRAM,02,full
39.9712,-120.9821,Right of Way Maintenance,2025,completed,2.7,(PALS)PG&E HERBICIDE VEGETATION MANAGEMENT PROGRAM,02,full
40.0087,-121.0537,Right of Way Maintenance,2025,completed,,,,basic
39.9836,-121.0015,Right of Way Maintenance,2025,completed,,,,basic
39.9687,-120.9785,Right of Way Maintenance,2025,completed,,,,basic
40.0086,-121.0535,Right of Way Maintenance,2025,completed,,,,basic
39.5395,-121.3159,Right of Way Maintenance,2025,completed,2.8,DEFAULT FOR NOT REQUIRED,02,full
39.5397,-121.3157,Right of Way Maintenance,2025,completed,,,,basic
39.9905,-121.0116,Right of Way Maintenance,2025,completed,,,,basic
39.5371,-121.3203,Right of Way Maintenance,2025,completed,0.1,DEFAULT FOR NOT REQUIRED,02,full
