Permit #,Permitee,Site ID,Site Location,Site Name,Meridian,Township,Range,Section,Application Date,Application Time,Commodity Code,Commodity,EPA Reg No,Product Name,Quantity Used,Quantity Units,Treated Amount,Treated Units,Appl. Method,Applicator Name,Applicator License #,Applicator License Type
3202150.0,Sierra Pacific Industries Almanor Distri,290829,29N08E29,29N08E29,M,29N,08E,29.0,2024-08-19,9:00 AM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,1.5,Gallon,9.62,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290829,29N08E29,29N08E29,M,29N,08E,29.0,2024-08-19,9:00 AM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,4.5,Gallon,9.62,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290829,29N08E29,29N08E29,M,29N,08E,29.0,2024-08-19,9:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,3.0,Gallon,9.62,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,28.0,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,7.0,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,21.0,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,6.0,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,1.5,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,4.5,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-19,2:30 PM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,3.0,Gallon,40.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,20.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,5.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,15.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,4.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,1.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,3.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
